animal,pos_neg_sentence,pos_sentence,BERT_pos_neg_animals,BERT_pos_animals
aardvark,"An animal that has hair, has no feathers, don't lay eggs, produces milk, isn't airborne, doesn't live in water, is a predator, has teeth, is a vertebrate, breathes outside water, isn't venomous, doesn't have fins, has 4 legs, doesn't have a tail, isn't a domestic animal.","An animal that has hair, produces milk, is a predator, has teeth, is a vertebrate, breathes outside water, has 4 legs.","['aardvark', 'ostrich', 'cavy', 'tortoise', 'gorilla']","['opossum', 'puma', 'leopard', 'mongoose', 'mink']"
antelope,"An animal that has hair, has no feathers, don't lay eggs, produces milk, isn't airborne, doesn't live in water, isn't a predator, has teeth, is a vertebrate, breathes outside water, isn't venomous, doesn't have fins, has 4 legs, has a tail, isn't a domestic animal.","An animal that has hair, produces milk, has teeth, is a vertebrate, breathes outside water, has 4 legs, has a tail.","['giraffe', 'scorpion', 'ostrich', 'tortoise', 'gorilla']","['raccoon', 'polecat', 'mink', 'vampire', 'fruitbat']"
bass,"An animal that has no hair, has no feathers, lay eggs, doesn't produce milk, isn't airborne, lives in water, is a predator, has teeth, is a vertebrate, doesn't breathe outside water, isn't venomous, has fins, doesn't have legs, has a tail, isn't a domestic animal.","An animal that lay eggs, lives in water, is a predator, has teeth, is a vertebrate, has fins, has a tail.","['seasnake', 'seahorse', 'haddock', 'sole', 'slowworm']","['herring', 'catfish', 'chub', 'dogfish', 'stingray']"
bear,"An animal that has hair, has no feathers, don't lay eggs, produces milk, isn't airborne, doesn't live in water, is a predator, has teeth, is a vertebrate, breathes outside water, isn't venomous, doesn't have fins, has 4 legs, doesn't have a tail, isn't a domestic animal.","An animal that has hair, produces milk, is a predator, has teeth, is a vertebrate, breathes outside water, has 4 legs.","['aardvark', 'ostrich', 'cavy', 'tortoise', 'gorilla']","['opossum', 'puma', 'leopard', 'mongoose', 'mink']"
boar,"An animal that has hair, has no feathers, don't lay eggs, produces milk, isn't airborne, doesn't live in water, is a predator, has teeth, is a vertebrate, breathes outside water, isn't venomous, doesn't have fins, has 4 legs, has a tail, isn't a domestic animal.","An animal that has hair, produces milk, is a predator, has teeth, is a vertebrate, breathes outside water, has 4 legs, has a tail.","['vole', 'buffalo', 'cavy', 'bear', 'aardvark']","['raccoon', 'lion', 'polecat', 'boar', 'mink']"
buffalo,"An animal that has hair, has no feathers, don't lay eggs, produces milk, isn't airborne, doesn't live in water, isn't a predator, has teeth, is a vertebrate, breathes outside water, isn't venomous, doesn't have fins, has 4 legs, has a tail, isn't a domestic animal.","An animal that has hair, produces milk, has teeth, is a vertebrate, breathes outside water, has 4 legs, has a tail.","['giraffe', 'scorpion', 'ostrich', 'tortoise', 'gorilla']","['raccoon', 'polecat', 'mink', 'vampire', 'fruitbat']"
calf,"An animal that has hair, has no feathers, don't lay eggs, produces milk, isn't airborne, doesn't live in water, isn't a predator, has teeth, is a vertebrate, breathes outside water, isn't venomous, doesn't have fins, has 4 legs, has a tail, is a domestic animal.","An animal that has hair, produces milk, has teeth, is a vertebrate, breathes outside water, has 4 legs, has a tail, is a domestic animal.","['oryx', 'bear', 'aardvark', 'gorilla', 'cavy']","['calf', 'pony', 'goat', 'hamster', 'reindeer']"
carp,"An animal that has no hair, has no feathers, lay eggs, doesn't produce milk, isn't airborne, lives in water, isn't a predator, has teeth, is a vertebrate, doesn't breathe outside water, isn't venomous, has fins, doesn't have legs, has a tail, is a domestic animal.","An animal that lay eggs, lives in water, has teeth, is a vertebrate, has fins, has a tail, is a domestic animal.","['seasnake', 'seahorse', 'haddock', 'sole', 'slowworm']","['platypus', 'dolphin', 'porpoise', 'pussycat', 'carp']"
catfish,"An animal that has no hair, has no feathers, lay eggs, doesn't produce milk, isn't airborne, lives in water, is a predator, has teeth, is a vertebrate, doesn't breathe outside water, isn't venomous, has fins, doesn't have legs, has a tail, isn't a domestic animal.","An animal that lay eggs, lives in water, is a predator, has teeth, is a vertebrate, has fins, has a tail.","['seasnake', 'seahorse', 'haddock', 'sole', 'slowworm']","['herring', 'catfish', 'chub', 'dogfish', 'stingray']"
cavy,"An animal that has hair, has no feathers, don't lay eggs, produces milk, isn't airborne, doesn't live in water, isn't a predator, has teeth, is a vertebrate, breathes outside water, isn't venomous, doesn't have fins, has 4 legs, doesn't have a tail, is a domestic animal.","An animal that has hair, produces milk, has teeth, is a vertebrate, breathes outside water, has 4 legs, is a domestic animal.","['ladybird', 'ostrich', 'tortoise', 'cavy', 'gorilla']","['reindeer', 'goat', 'hamster', 'pony', 'calf']"
cheetah,"An animal that has hair, has no feathers, don't lay eggs, produces milk, isn't airborne, doesn't live in water, is a predator, has teeth, is a vertebrate, breathes outside water, isn't venomous, doesn't have fins, has 4 legs, has a tail, isn't a domestic animal.","An animal that has hair, produces milk, is a predator, has teeth, is a vertebrate, breathes outside water, has 4 legs, has a tail.","['vole', 'buffalo', 'cavy', 'bear', 'aardvark']","['raccoon', 'lion', 'polecat', 'boar', 'mink']"
chicken,"An animal that has no hair, has feathers, lay eggs, doesn't produce milk, is airborne, doesn't live in water, isn't a predator, doesn't have teeth, is a vertebrate, breathes outside water, isn't venomous, doesn't have fins, has 2 legs, has a tail, is a domestic animal.","An animal that has feathers, lay eggs, is airborne, is a vertebrate, breathes outside water, has 2 legs, has a tail, is a domestic animal.","['sparrow', 'lark', 'pheasant', 'flamingo', 'honeybee']","['skua', 'pussycat', 'parakeet', 'chicken', 'dove']"
chub,"An animal that has no hair, has no feathers, lay eggs, doesn't produce milk, isn't airborne, lives in water, is a predator, has teeth, is a vertebrate, doesn't breathe outside water, isn't venomous, has fins, doesn't have legs, has a tail, isn't a domestic animal.","An animal that lay eggs, lives in water, is a predator, has teeth, is a vertebrate, has fins, has a tail.","['seasnake', 'seahorse', 'haddock', 'sole', 'slowworm']","['herring', 'catfish', 'chub', 'dogfish', 'stingray']"
clam,"An animal that has no hair, has no feathers, lay eggs, doesn't produce milk, isn't airborne, doesn't live in water, is a predator, doesn't have teeth, isn't a vertebrate, doesn't breathe outside water, isn't venomous, doesn't have fins, doesn't have legs, doesn't have a tail, isn't a domestic animal.","An animal that lay eggs, is a predator.","['termite', 'seawasp', 'slug', 'worm', 'clam']","['chub', 'tuatara', 'pitviper', 'slowworm', 'clam']"
crab,"An animal that has no hair, has no feathers, lay eggs, doesn't produce milk, isn't airborne, lives in water, is a predator, doesn't have teeth, isn't a vertebrate, doesn't breathe outside water, isn't venomous, doesn't have fins, has 4 legs, doesn't have a tail, isn't a domestic animal.","An animal that lay eggs, lives in water, is a predator, has 4 legs.","['gnat', 'lobster', 'crayfish', 'starfish', 'crab']","['frog', 'penguin', 'tuatara', 'newt', 'frog']"
crayfish,"An animal that has no hair, has no feathers, lay eggs, doesn't produce milk, isn't airborne, lives in water, is a predator, doesn't have teeth, isn't a vertebrate, doesn't breathe outside water, isn't venomous, doesn't have fins, has 6 legs, doesn't have a tail, isn't a domestic animal.","An animal that lay eggs, lives in water, is a predator, has 6 legs.","['gnat', 'starfish', 'crayfish', 'lobster', 'octopus']","['penguin', 'platypus', 'tuatara', 'frog', 'newt']"
crow,"An animal that has no hair, has feathers, lay eggs, doesn't produce milk, is airborne, doesn't live in water, is a predator, doesn't have teeth, is a vertebrate, breathes outside water, isn't venomous, doesn't have fins, has 2 legs, has a tail, isn't a domestic animal.","An animal that has feathers, lay eggs, is airborne, is a predator, is a vertebrate, breathes outside water, has 2 legs, has a tail.","['lark', 'sparrow', 'pheasant', 'flamingo', 'wren']","['crow', 'vulture', 'gull', 'skua', 'skimmer']"
deer,"An animal that has hair, has no feathers, don't lay eggs, produces milk, isn't airborne, doesn't live in water, isn't a predator, has teeth, is a vertebrate, breathes outside water, isn't venomous, doesn't have fins, has 4 legs, has a tail, isn't a domestic animal.","An animal that has hair, produces milk, has teeth, is a vertebrate, breathes outside water, has 4 legs, has a tail.","['giraffe', 'scorpion', 'ostrich', 'tortoise', 'gorilla']","['raccoon', 'polecat', 'mink', 'vampire', 'fruitbat']"
dogfish,"An animal that has no hair, has no feathers, lay eggs, doesn't produce milk, isn't airborne, lives in water, is a predator, has teeth, is a vertebrate, doesn't breathe outside water, isn't venomous, has fins, doesn't have legs, has a tail, isn't a domestic animal.","An animal that lay eggs, lives in water, is a predator, has teeth, is a vertebrate, has fins, has a tail.","['seasnake', 'seahorse', 'haddock', 'sole', 'slowworm']","['herring', 'catfish', 'chub', 'dogfish', 'stingray']"
dolphin,"An animal that has no hair, has no feathers, don't lay eggs, produces milk, isn't airborne, lives in water, is a predator, has teeth, is a vertebrate, breathes outside water, isn't venomous, has fins, doesn't have legs, has a tail, isn't a domestic animal.","An animal that produces milk, lives in water, is a predator, has teeth, is a vertebrate, breathes outside water, has fins, has a tail.","['sole', 'seasnake', 'seal', 'pitviper', 'slowworm']","['mink', 'seal', 'sealion', 'dolphin', 'porpoise']"
dove,"An animal that has no hair, has feathers, lay eggs, doesn't produce milk, is airborne, doesn't live in water, isn't a predator, doesn't have teeth, is a vertebrate, breathes outside water, isn't venomous, doesn't have fins, has 2 legs, has a tail, is a domestic animal.","An animal that has feathers, lay eggs, is airborne, is a vertebrate, breathes outside water, has 2 legs, has a tail, is a domestic animal.","['sparrow', 'lark', 'pheasant', 'flamingo', 'honeybee']","['skua', 'pussycat', 'parakeet', 'chicken', 'dove']"
duck,"An animal that has no hair, has feathers, lay eggs, doesn't produce milk, is airborne, lives in water, isn't a predator, doesn't have teeth, is a vertebrate, breathes outside water, isn't venomous, doesn't have fins, has 2 legs, has a tail, isn't a domestic animal.","An animal that has feathers, lay eggs, is airborne, lives in water, is a vertebrate, breathes outside water, has 2 legs, has a tail.","['flamingo', 'lark', 'pheasant', 'sparrow', 'ostrich']","['duck', 'swan', 'skua', 'skimmer', 'gull']"
elephant,"An animal that has hair, has no feathers, don't lay eggs, produces milk, isn't airborne, doesn't live in water, isn't a predator, has teeth, is a vertebrate, breathes outside water, isn't venomous, doesn't have fins, has 4 legs, has a tail, isn't a domestic animal.","An animal that has hair, produces milk, has teeth, is a vertebrate, breathes outside water, has 4 legs, has a tail.","['giraffe', 'scorpion', 'ostrich', 'tortoise', 'gorilla']","['raccoon', 'polecat', 'mink', 'vampire', 'fruitbat']"
flamingo,"An animal that has no hair, has feathers, lay eggs, doesn't produce milk, is airborne, doesn't live in water, isn't a predator, doesn't have teeth, is a vertebrate, breathes outside water, isn't venomous, doesn't have fins, has 2 legs, has a tail, isn't a domestic animal.","An animal that has feathers, lay eggs, is airborne, is a vertebrate, breathes outside water, has 2 legs, has a tail.","['housefly', 'tortoise', 'wasp', 'ladybird', 'ostrich']","['swan', 'duck', 'gull', 'skua', 'skimmer']"
flea,"An animal that has no hair, has no feathers, lay eggs, doesn't produce milk, isn't airborne, doesn't live in water, isn't a predator, doesn't have teeth, isn't a vertebrate, breathes outside water, isn't venomous, doesn't have fins, has 6 legs, doesn't have a tail, isn't a domestic animal.","An animal that lay eggs, breathes outside water, has 6 legs.","['crayfish', 'octopus', 'gnat', 'flea', 'termite']","['newt', 'tuatara', 'tortoise', 'frog', 'toad']"
frog,"An animal that has no hair, has no feathers, lay eggs, doesn't produce milk, isn't airborne, lives in water, is a predator, has teeth, is a vertebrate, breathes outside water, isn't venomous, doesn't have fins, has 4 legs, doesn't have a tail, isn't a domestic animal.","An animal that lay eggs, lives in water, is a predator, has teeth, is a vertebrate, breathes outside water, has 4 legs.","['wasp', 'ladybird', 'ostrich', 'tortoise', 'toad']","['frog', 'frog', 'mink', 'platypus', 'newt']"
frog,"An animal that has no hair, has no feathers, lay eggs, doesn't produce milk, isn't airborne, lives in water, is a predator, has teeth, is a vertebrate, breathes outside water, is venomous, doesn't have fins, has 4 legs, doesn't have a tail, isn't a domestic animal.","An animal that lay eggs, lives in water, is a predator, has teeth, is a vertebrate, breathes outside water, is venomous, has 4 legs.","['kiwi', 'rhea', 'toad', 'frog', 'honeybee']","['mink', 'stingray', 'platypus', 'newt', 'frog']"
fruitbat,"An animal that has hair, has no feathers, don't lay eggs, produces milk, is airborne, doesn't live in water, isn't a predator, has teeth, is a vertebrate, breathes outside water, isn't venomous, doesn't have fins, has 2 legs, has a tail, isn't a domestic animal.","An animal that has hair, produces milk, is airborne, has teeth, is a vertebrate, breathes outside water, has 2 legs, has a tail.","['pheasant', 'lark', 'flamingo', 'wren', 'gorilla']","['skua', 'sealion', 'mink', 'fruitbat', 'vampire']"
giraffe,"An animal that has hair, has no feathers, don't lay eggs, produces milk, isn't airborne, doesn't live in water, isn't a predator, has teeth, is a vertebrate, breathes outside water, isn't venomous, doesn't have fins, has 4 legs, has a tail, isn't a domestic animal.","An animal that has hair, produces milk, has teeth, is a vertebrate, breathes outside water, has 4 legs, has a tail.","['giraffe', 'scorpion', 'ostrich', 'tortoise', 'gorilla']","['raccoon', 'polecat', 'mink', 'vampire', 'fruitbat']"
girl,"An animal that has hair, has no feathers, don't lay eggs, produces milk, isn't airborne, doesn't live in water, is a predator, has teeth, is a vertebrate, breathes outside water, isn't venomous, doesn't have fins, has 2 legs, doesn't have a tail, is a domestic animal.","An animal that has hair, produces milk, is a predator, has teeth, is a vertebrate, breathes outside water, has 2 legs, is a domestic animal.","['gorilla', 'girl', 'bear', 'aardvark', 'cavy']","['goat', 'pony', 'calf', 'girl', 'pussycat']"
gnat,"An animal that has no hair, has no feathers, lay eggs, doesn't produce milk, is airborne, doesn't live in water, isn't a predator, doesn't have teeth, isn't a vertebrate, breathes outside water, isn't venomous, doesn't have fins, has 6 legs, doesn't have a tail, isn't a domestic animal.","An animal that lay eggs, is airborne, breathes outside water, has 6 legs.","['housefly', 'moth', 'flea', 'termite', 'gnat']","['pheasant', 'flamingo', 'lark', 'swan', 'duck']"
goat,"An animal that has hair, has no feathers, don't lay eggs, produces milk, isn't airborne, doesn't live in water, isn't a predator, has teeth, is a vertebrate, breathes outside water, isn't venomous, doesn't have fins, has 4 legs, has a tail, is a domestic animal.","An animal that has hair, produces milk, has teeth, is a vertebrate, breathes outside water, has 4 legs, has a tail, is a domestic animal.","['oryx', 'bear', 'aardvark', 'gorilla', 'cavy']","['calf', 'pony', 'goat', 'hamster', 'reindeer']"
gorilla,"An animal that has hair, has no feathers, don't lay eggs, produces milk, isn't airborne, doesn't live in water, isn't a predator, has teeth, is a vertebrate, breathes outside water, isn't venomous, doesn't have fins, has 2 legs, doesn't have a tail, isn't a domestic animal.","An animal that has hair, produces milk, has teeth, is a vertebrate, breathes outside water, has 2 legs.","['gnat', 'ostrich', 'housefly', 'moth', 'gorilla']","['giraffe', 'wallaby', 'squirrel', 'fruitbat', 'vampire']"
gull,"An animal that has no hair, has feathers, lay eggs, doesn't produce milk, is airborne, lives in water, is a predator, doesn't have teeth, is a vertebrate, breathes outside water, isn't venomous, doesn't have fins, has 2 legs, has a tail, isn't a domestic animal.","An animal that has feathers, lay eggs, is airborne, lives in water, is a predator, is a vertebrate, breathes outside water, has 2 legs, has a tail.","['pheasant', 'sparrow', 'lark', 'flamingo', 'wren']","['vulture', 'platypus', 'skua', 'skimmer', 'gull']"
haddock,"An animal that has no hair, has no feathers, lay eggs, doesn't produce milk, isn't airborne, lives in water, isn't a predator, has teeth, is a vertebrate, doesn't breathe outside water, isn't venomous, has fins, doesn't have legs, has a tail, isn't a domestic animal.","An animal that lay eggs, lives in water, has teeth, is a vertebrate, has fins, has a tail.","['sole', 'haddock', 'seahorse', 'slowworm', 'seawasp']","['piranha', 'tuna', 'pike', 'herring', 'bass']"
hamster,"An animal that has hair, has no feathers, don't lay eggs, produces milk, isn't airborne, doesn't live in water, isn't a predator, has teeth, is a vertebrate, breathes outside water, isn't venomous, doesn't have fins, has 4 legs, has a tail, is a domestic animal.","An animal that has hair, produces milk, has teeth, is a vertebrate, breathes outside water, has 4 legs, has a tail, is a domestic animal.","['oryx', 'bear', 'aardvark', 'gorilla', 'cavy']","['calf', 'pony', 'goat', 'hamster', 'reindeer']"
hare,"An animal that has hair, has no feathers, don't lay eggs, produces milk, isn't airborne, doesn't live in water, isn't a predator, has teeth, is a vertebrate, breathes outside water, isn't venomous, doesn't have fins, has 4 legs, has a tail, isn't a domestic animal.","An animal that has hair, produces milk, has teeth, is a vertebrate, breathes outside water, has 4 legs, has a tail.","['giraffe', 'scorpion', 'ostrich', 'tortoise', 'gorilla']","['raccoon', 'polecat', 'mink', 'vampire', 'fruitbat']"
hawk,"An animal that has no hair, has feathers, lay eggs, doesn't produce milk, is airborne, doesn't live in water, is a predator, doesn't have teeth, is a vertebrate, breathes outside water, isn't venomous, doesn't have fins, has 2 legs, has a tail, isn't a domestic animal.","An animal that has feathers, lay eggs, is airborne, is a predator, is a vertebrate, breathes outside water, has 2 legs, has a tail.","['lark', 'sparrow', 'pheasant', 'flamingo', 'wren']","['crow', 'vulture', 'gull', 'skua', 'skimmer']"
herring,"An animal that has no hair, has no feathers, lay eggs, doesn't produce milk, isn't airborne, lives in water, is a predator, has teeth, is a vertebrate, doesn't breathe outside water, isn't venomous, has fins, doesn't have legs, has a tail, isn't a domestic animal.","An animal that lay eggs, lives in water, is a predator, has teeth, is a vertebrate, has fins, has a tail.","['seasnake', 'seahorse', 'haddock', 'sole', 'slowworm']","['herring', 'catfish', 'chub', 'dogfish', 'stingray']"
honeybee,"An animal that has hair, has no feathers, lay eggs, doesn't produce milk, is airborne, doesn't live in water, isn't a predator, doesn't have teeth, isn't a vertebrate, breathes outside water, is venomous, doesn't have fins, has 6 legs, doesn't have a tail, is a domestic animal.","An animal that has hair, lay eggs, is airborne, breathes outside water, is venomous, has 6 legs, is a domestic animal.","['moth', 'housefly', 'honeybee', 'ladybird', 'wasp']","['chicken', 'frog', 'girl', 'pussycat', 'honeybee']"
housefly,"An animal that has hair, has no feathers, lay eggs, doesn't produce milk, is airborne, doesn't live in water, isn't a predator, doesn't have teeth, isn't a vertebrate, breathes outside water, isn't venomous, doesn't have fins, has 6 legs, doesn't have a tail, isn't a domestic animal.","An animal that has hair, lay eggs, is airborne, breathes outside water, has 6 legs.","['flea', 'termite', 'gnat', 'housefly', 'moth']","['skua', 'vampire', 'fruitbat', 'swan', 'duck']"
kiwi,"An animal that has no hair, has feathers, lay eggs, doesn't produce milk, isn't airborne, doesn't live in water, is a predator, doesn't have teeth, is a vertebrate, breathes outside water, isn't venomous, doesn't have fins, has 2 legs, has a tail, isn't a domestic animal.","An animal that has feathers, lay eggs, is a predator, is a vertebrate, breathes outside water, has 2 legs, has a tail.","['gorilla', 'wasp', 'ladybird', 'tortoise', 'ostrich']","['vulture', 'skua', 'skimmer', 'gull', 'penguin']"
ladybird,"An animal that has no hair, has no feathers, lay eggs, doesn't produce milk, is airborne, doesn't live in water, is a predator, doesn't have teeth, isn't a vertebrate, breathes outside water, isn't venomous, doesn't have fins, has 6 legs, doesn't have a tail, isn't a domestic animal.","An animal that lay eggs, is airborne, is a predator, breathes outside water, has 6 legs.","['crayfish', 'moth', 'housefly', 'ladybird', 'gnat']","['newt', 'platypus', 'gull', 'skimmer', 'skua']"
lark,"An animal that has no hair, has feathers, lay eggs, doesn't produce milk, is airborne, doesn't live in water, isn't a predator, doesn't have teeth, is a vertebrate, breathes outside water, isn't venomous, doesn't have fins, has 2 legs, has a tail, isn't a domestic animal.","An animal that has feathers, lay eggs, is airborne, is a vertebrate, breathes outside water, has 2 legs, has a tail.","['housefly', 'tortoise', 'wasp', 'ladybird', 'ostrich']","['swan', 'duck', 'gull', 'skua', 'skimmer']"
leopard,"An animal that has hair, has no feathers, don't lay eggs, produces milk, isn't airborne, doesn't live in water, is a predator, has teeth, is a vertebrate, breathes outside water, isn't venomous, doesn't have fins, has 4 legs, has a tail, isn't a domestic animal.","An animal that has hair, produces milk, is a predator, has teeth, is a vertebrate, breathes outside water, has 4 legs, has a tail.","['vole', 'buffalo', 'cavy', 'bear', 'aardvark']","['raccoon', 'lion', 'polecat', 'boar', 'mink']"
lion,"An animal that has hair, has no feathers, don't lay eggs, produces milk, isn't airborne, doesn't live in water, is a predator, has teeth, is a vertebrate, breathes outside water, isn't venomous, doesn't have fins, has 4 legs, has a tail, isn't a domestic animal.","An animal that has hair, produces milk, is a predator, has teeth, is a vertebrate, breathes outside water, has 4 legs, has a tail.","['vole', 'buffalo', 'cavy', 'bear', 'aardvark']","['raccoon', 'lion', 'polecat', 'boar', 'mink']"
lobster,"An animal that has no hair, has no feathers, lay eggs, doesn't produce milk, isn't airborne, lives in water, is a predator, doesn't have teeth, isn't a vertebrate, doesn't breathe outside water, isn't venomous, doesn't have fins, has 6 legs, doesn't have a tail, isn't a domestic animal.","An animal that lay eggs, lives in water, is a predator, has 6 legs.","['gnat', 'starfish', 'crayfish', 'lobster', 'octopus']","['penguin', 'platypus', 'tuatara', 'frog', 'newt']"
lynx,"An animal that has hair, has no feathers, don't lay eggs, produces milk, isn't airborne, doesn't live in water, is a predator, has teeth, is a vertebrate, breathes outside water, isn't venomous, doesn't have fins, has 4 legs, has a tail, isn't a domestic animal.","An animal that has hair, produces milk, is a predator, has teeth, is a vertebrate, breathes outside water, has 4 legs, has a tail.","['vole', 'buffalo', 'cavy', 'bear', 'aardvark']","['raccoon', 'lion', 'polecat', 'boar', 'mink']"
mink,"An animal that has hair, has no feathers, don't lay eggs, produces milk, isn't airborne, lives in water, is a predator, has teeth, is a vertebrate, breathes outside water, isn't venomous, doesn't have fins, has 4 legs, has a tail, isn't a domestic animal.","An animal that has hair, produces milk, lives in water, is a predator, has teeth, is a vertebrate, breathes outside water, has 4 legs, has a tail.","['fruitbat', 'vampire', 'cavy', 'bear', 'aardvark']","['lion', 'wolf', 'platypus', 'sealion', 'mink']"
mole,"An animal that has hair, has no feathers, don't lay eggs, produces milk, isn't airborne, doesn't live in water, is a predator, has teeth, is a vertebrate, breathes outside water, isn't venomous, doesn't have fins, has 4 legs, has a tail, isn't a domestic animal.","An animal that has hair, produces milk, is a predator, has teeth, is a vertebrate, breathes outside water, has 4 legs, has a tail.","['vole', 'buffalo', 'cavy', 'bear', 'aardvark']","['raccoon', 'lion', 'polecat', 'boar', 'mink']"
