animal,sentence
aardvark,"An animal that has hair, produces milk, is a predator, has teeth, is a vertebrate, breathes outside water, has 4 legs."
antelope,"An animal that has hair, produces milk, has teeth, is a vertebrate, breathes outside water, has 4 legs, has a tail."
bass,"An animal that lay eggs, lives in water, is a predator, has teeth, is a vertebrate, has fins, has a tail."
bear,"An animal that has hair, produces milk, is a predator, has teeth, is a vertebrate, breathes outside water, has 4 legs."
boar,"An animal that has hair, produces milk, is a predator, has teeth, is a vertebrate, breathes outside water, has 4 legs, has a tail."
buffalo,"An animal that has hair, produces milk, has teeth, is a vertebrate, breathes outside water, has 4 legs, has a tail."
calf,"An animal that has hair, produces milk, has teeth, is a vertebrate, breathes outside water, has 4 legs, has a tail, is a domestic animal."
carp,"An animal that lay eggs, lives in water, has teeth, is a vertebrate, has fins, has a tail, is a domestic animal."
catfish,"An animal that lay eggs, lives in water, is a predator, has teeth, is a vertebrate, has fins, has a tail."
cavy,"An animal that has hair, produces milk, has teeth, is a vertebrate, breathes outside water, has 4 legs, is a domestic animal."
cheetah,"An animal that has hair, produces milk, is a predator, has teeth, is a vertebrate, breathes outside water, has 4 legs, has a tail."
chicken,"An animal that has feathers, lay eggs, is airborne, is a vertebrate, breathes outside water, has 2 legs, has a tail, is a domestic animal."
chub,"An animal that lay eggs, lives in water, is a predator, has teeth, is a vertebrate, has fins, has a tail."
clam,"An animal that lay eggs, is a predator."
crab,"An animal that lay eggs, lives in water, is a predator, has 4 legs."
crayfish,"An animal that lay eggs, lives in water, is a predator, has 6 legs."
crow,"An animal that has feathers, lay eggs, is airborne, is a predator, is a vertebrate, breathes outside water, has 2 legs, has a tail."
deer,"An animal that has hair, produces milk, has teeth, is a vertebrate, breathes outside water, has 4 legs, has a tail."
dogfish,"An animal that lay eggs, lives in water, is a predator, has teeth, is a vertebrate, has fins, has a tail."
dolphin,"An animal that produces milk, lives in water, is a predator, has teeth, is a vertebrate, breathes outside water, has fins, has a tail."
dove,"An animal that has feathers, lay eggs, is airborne, is a vertebrate, breathes outside water, has 2 legs, has a tail, is a domestic animal."
duck,"An animal that has feathers, lay eggs, is airborne, lives in water, is a vertebrate, breathes outside water, has 2 legs, has a tail."
elephant,"An animal that has hair, produces milk, has teeth, is a vertebrate, breathes outside water, has 4 legs, has a tail."
flamingo,"An animal that has feathers, lay eggs, is airborne, is a vertebrate, breathes outside water, has 2 legs, has a tail."
flea,"An animal that lay eggs, breathes outside water, has 6 legs."
frog,"An animal that lay eggs, lives in water, is a predator, has teeth, is a vertebrate, breathes outside water, has 4 legs."
frog,"An animal that lay eggs, lives in water, is a predator, has teeth, is a vertebrate, breathes outside water, is venomous, has 4 legs."
fruitbat,"An animal that has hair, produces milk, is airborne, has teeth, is a vertebrate, breathes outside water, has 2 legs, has a tail."
giraffe,"An animal that has hair, produces milk, has teeth, is a vertebrate, breathes outside water, has 4 legs, has a tail."
girl,"An animal that has hair, produces milk, is a predator, has teeth, is a vertebrate, breathes outside water, has 2 legs, is a domestic animal."
gnat,"An animal that lay eggs, is airborne, breathes outside water, has 6 legs."
goat,"An animal that has hair, produces milk, has teeth, is a vertebrate, breathes outside water, has 4 legs, has a tail, is a domestic animal."
gorilla,"An animal that has hair, produces milk, has teeth, is a vertebrate, breathes outside water, has 2 legs."
gull,"An animal that has feathers, lay eggs, is airborne, lives in water, is a predator, is a vertebrate, breathes outside water, has 2 legs, has a tail."
haddock,"An animal that lay eggs, lives in water, has teeth, is a vertebrate, has fins, has a tail."
hamster,"An animal that has hair, produces milk, has teeth, is a vertebrate, breathes outside water, has 4 legs, has a tail, is a domestic animal."
hare,"An animal that has hair, produces milk, has teeth, is a vertebrate, breathes outside water, has 4 legs, has a tail."
hawk,"An animal that has feathers, lay eggs, is airborne, is a predator, is a vertebrate, breathes outside water, has 2 legs, has a tail."
herring,"An animal that lay eggs, lives in water, is a predator, has teeth, is a vertebrate, has fins, has a tail."
honeybee,"An animal that has hair, lay eggs, is airborne, breathes outside water, is venomous, has 6 legs, is a domestic animal."
housefly,"An animal that has hair, lay eggs, is airborne, breathes outside water, has 6 legs."
kiwi,"An animal that has feathers, lay eggs, is a predator, is a vertebrate, breathes outside water, has 2 legs, has a tail."
ladybird,"An animal that lay eggs, is airborne, is a predator, breathes outside water, has 6 legs."
lark,"An animal that has feathers, lay eggs, is airborne, is a vertebrate, breathes outside water, has 2 legs, has a tail."
leopard,"An animal that has hair, produces milk, is a predator, has teeth, is a vertebrate, breathes outside water, has 4 legs, has a tail."
lion,"An animal that has hair, produces milk, is a predator, has teeth, is a vertebrate, breathes outside water, has 4 legs, has a tail."
lobster,"An animal that lay eggs, lives in water, is a predator, has 6 legs."
lynx,"An animal that has hair, produces milk, is a predator, has teeth, is a vertebrate, breathes outside water, has 4 legs, has a tail."
mink,"An animal that has hair, produces milk, lives in water, is a predator, has teeth, is a vertebrate, breathes outside water, has 4 legs, has a tail."
mole,"An animal that has hair, produces milk, is a predator, has teeth, is a vertebrate, breathes outside water, has 4 legs, has a tail."
mongoose,"An animal that has hair, produces milk, is a predator, has teeth, is a vertebrate, breathes outside water, has 4 legs, has a tail."
moth,"An animal that has hair, lay eggs, is airborne, breathes outside water, has 6 legs."
newt,"An animal that lay eggs, lives in water, is a predator, has teeth, is a vertebrate, breathes outside water, has 4 legs, has a tail."
octopus,"An animal that lay eggs, lives in water, is a predator, has 8 legs."
opossum,"An animal that has hair, produces milk, is a predator, has teeth, is a vertebrate, breathes outside water, has 4 legs, has a tail."
oryx,"An animal that has hair, produces milk, has teeth, is a vertebrate, breathes outside water, has 4 legs, has a tail."
ostrich,"An animal that has feathers, lay eggs, is a vertebrate, breathes outside water, has 2 legs, has a tail."
parakeet,"An animal that has feathers, lay eggs, is airborne, is a vertebrate, breathes outside water, has 2 legs, has a tail, is a domestic animal."
penguin,"An animal that has feathers, lay eggs, lives in water, is a predator, is a vertebrate, breathes outside water, has 2 legs, has a tail."
pheasant,"An animal that has feathers, lay eggs, is airborne, is a vertebrate, breathes outside water, has 2 legs, has a tail."
pike,"An animal that lay eggs, lives in water, is a predator, has teeth, is a vertebrate, has fins, has a tail."
piranha,"An animal that lay eggs, lives in water, is a predator, has teeth, is a vertebrate, has fins, has a tail."
pitviper,"An animal that lay eggs, is a predator, has teeth, is a vertebrate, breathes outside water, is venomous, has a tail."
platypus,"An animal that has hair, lay eggs, produces milk, lives in water, is a predator, is a vertebrate, breathes outside water, has 4 legs, has a tail."
polecat,"An animal that has hair, produces milk, is a predator, has teeth, is a vertebrate, breathes outside water, has 4 legs, has a tail."
pony,"An animal that has hair, produces milk, has teeth, is a vertebrate, breathes outside water, has 4 legs, has a tail, is a domestic animal."
porpoise,"An animal that produces milk, lives in water, is a predator, has teeth, is a vertebrate, breathes outside water, has fins, has a tail."
puma,"An animal that has hair, produces milk, is a predator, has teeth, is a vertebrate, breathes outside water, has 4 legs, has a tail."
pussycat,"An animal that has hair, produces milk, is a predator, has teeth, is a vertebrate, breathes outside water, has 4 legs, has a tail, is a domestic animal."
raccoon,"An animal that has hair, produces milk, is a predator, has teeth, is a vertebrate, breathes outside water, has 4 legs, has a tail."
reindeer,"An animal that has hair, produces milk, has teeth, is a vertebrate, breathes outside water, has 4 legs, has a tail, is a domestic animal."
rhea,"An animal that has feathers, lay eggs, is a predator, is a vertebrate, breathes outside water, has 2 legs, has a tail."
scorpion,"An animal that is a predator, breathes outside water, is venomous, has 8 legs, has a tail."
seahorse,"An animal that lay eggs, lives in water, has teeth, is a vertebrate, has fins, has a tail."
seal,"An animal that has hair, produces milk, lives in water, is a predator, has teeth, is a vertebrate, breathes outside water, has fins."
sealion,"An animal that has hair, produces milk, lives in water, is a predator, has teeth, is a vertebrate, breathes outside water, has fins, has 2 legs, has a tail."
seasnake,"An animal that lives in water, is a predator, has teeth, is a vertebrate, is venomous, has a tail."
seawasp,"An animal that lay eggs, lives in water, is a predator, is venomous."
skimmer,"An animal that has feathers, lay eggs, is airborne, lives in water, is a predator, is a vertebrate, breathes outside water, has 2 legs, has a tail."
skua,"An animal that has feathers, lay eggs, is airborne, lives in water, is a predator, is a vertebrate, breathes outside water, has 2 legs, has a tail."
slowworm,"An animal that lay eggs, is a predator, has teeth, is a vertebrate, breathes outside water, has a tail."
slug,"An animal that lay eggs, breathes outside water."
sole,"An animal that lay eggs, lives in water, has teeth, is a vertebrate, has fins, has a tail."
sparrow,"An animal that has feathers, lay eggs, is airborne, is a vertebrate, breathes outside water, has 2 legs, has a tail."
squirrel,"An animal that has hair, produces milk, has teeth, is a vertebrate, breathes outside water, has 2 legs, has a tail."
starfish,"An animal that lay eggs, lives in water, is a predator, has 5 legs."
stingray,"An animal that lay eggs, lives in water, is a predator, has teeth, is a vertebrate, is venomous, has fins, has a tail."
swan,"An animal that has feathers, lay eggs, is airborne, lives in water, is a vertebrate, breathes outside water, has 2 legs, has a tail."
termite,"An animal that lay eggs, breathes outside water, has 6 legs."
toad,"An animal that lay eggs, lives in water, has teeth, is a vertebrate, breathes outside water, has 4 legs."
tortoise,"An animal that lay eggs, is a vertebrate, breathes outside water, has 4 legs, has a tail."
tuatara,"An animal that lay eggs, is a predator, has teeth, is a vertebrate, breathes outside water, has 4 legs, has a tail."
tuna,"An animal that lay eggs, lives in water, is a predator, has teeth, is a vertebrate, has fins, has a tail."
vampire,"An animal that has hair, produces milk, is airborne, has teeth, is a vertebrate, breathes outside water, has 2 legs, has a tail."
vole,"An animal that has hair, produces milk, has teeth, is a vertebrate, breathes outside water, has 4 legs, has a tail."
vulture,"An animal that has feathers, lay eggs, is airborne, is a predator, is a vertebrate, breathes outside water, has 2 legs, has a tail."
wallaby,"An animal that has hair, produces milk, has teeth, is a vertebrate, breathes outside water, has 2 legs, has a tail."
wasp,"An animal that has hair, lay eggs, is airborne, breathes outside water, is venomous, has 6 legs."
wolf,"An animal that has hair, produces milk, is a predator, has teeth, is a vertebrate, breathes outside water, has 4 legs, has a tail."
worm,"An animal that lay eggs, breathes outside water."
wren,"An animal that has feathers, lay eggs, is airborne, is a vertebrate, breathes outside water, has 2 legs, has a tail."
